district_lgd_code,district_name
421,Raisen
422,Rajgarh
423,Ratlam
424,Rewa
425,Sagar
426,Satna
427,Sehore
428,Seoni
429,Shahdol
430,Shajapur
431,Sheopur
432,Shivpuri
433,Sidhi
638,Singrauli
434,Tikamgarh
435,Ujjain
436,Umaria
437,Vidisha
466,Ahmednagar
467,Akola
468,Amravati
470,Beed
471,Bhandara
472,Buldhana
473,Chandrapur
469,Chhatrapati Sambhajinagar
488,Dharashiv
474,Dhule
475,Gadchiroli
476,Gondia
477,Hingoli
478,Jalgaon
479,Jalna
480,Kolhapur
481,Latur
482,Mumbai
483,Mumbai Suburban
484,Nagpur
485,Nanded
486,Nandurbar
487,Nashik
665,Palghar
489,Parbhani
490,Pune
491,Raigad
492,Ratnagiri
493,Sangli
494,Satara
495,Sindhudurg
496,Solapur
497,Thane
498,Wardha
499,Washim
500,Yavatmal
252,Bishnupur
253,Chandel
254,Churachandpur
255,Imphal East
256,Imphal West
713,Jiribam
711,Kakching
717,Kamjong
712,Kangpokpi
714,Noney
715,Pherzawl
257,Senapati
258,Tamenglong
716,Tengnoupal
259,Thoubal
260,Ukhrul
740,Eastern West Khasi Hills
273,East Garo Hills
657,East Jaintia Hills
274,East Khasi Hills
656,North Garo Hills
276,Ri Bhoi
277,South Garo Hills
663,South West Garo Hills
658,South West Khasi Hills
275,West Jaintia Hills
279,West Khasi Hills
261,Aizawl
262,Champhai
726,Hnahthial
728,Khawzawl
263,Kolasib
264,Lawngtlai
265,Lunglei
266,Mamit
727,Saitual
268,Serchhip
267,Siaha
758,Chumoukedima
244,Dimapur
614,Kiphire
245,Kohima
615,Longleng
246,Mokokchung
247,Mon
764,Niuland
736,Noklak
613,Peren
248,Phek
765,Shamator
757,Tseminyu
249,Tuensang
250,Wokha
251,Zunheboto
344,Anugul
345,Balangir
346,Baleshwar
347,Bargarh
348,Bhadrak
349,Boudh
350,Cuttack
351,Deogarh
352,Dhenkanal
353,Gajapati
354,Ganjam
355,Jagatsinghapur
356,Jajapur
357,Jharsuguda
358,Kalahandi
359,Kandhamal
360,Kendrapara
361,Kendujhar
362,Khordha
363,Koraput
364,Malkangiri
365,Mayurbhanj
366,Nabarangpur
367,Nayagarh
368,Nuapada
369,Puri
370,Rayagada
371,Sambalpur
372,Sonepur
373,Sundargarh
598,Karaikal
599,Mahe
600,Pondicherry
601,Yanam
27,Amritsar
605,Barnala
28,Bathinda
29,Faridkot
30,Fatehgarh Sahib
651,Fazilka
31,Ferozepur
32,Gurdaspur
33,Hoshiarpur
34,Jalandhar
35,Kapurthala
36,Ludhiana
737,Malerkotla
37,Mansa
38,Moga
662,Pathankot
41,Patiala
42,Rupnagar
43,Sangrur
608,S.A.S Nagar
40,Shahid Bhagat Singh Nagar
39,Sri Muktsar Sahib
609,Tarn Taran
86,Ajmer
87,Alwar
776,Anupgarh
775,Balotra
88,Banswara
89,Baran
90,Barmer
774,Beawar
91,Bharatpur
92,Bhilwara
93,Bikaner
94,Bundi
95,Chittorgarh
96,Churu
97,Dausa
767,Deeg
98,Dholpur
768,Didwana-Kuchaman
769,Dudu
99,Dungarpur
100,Ganganagar
771,Gangapurcity
101,Hanumangarh
102,Jaipur
783,Jaipur (Gramin)
103,Jaisalmer
104,Jalore
105,Jhalawar
106,Jhunjhunu
107,Jodhpur
778,Jodhpur (Gramin)
108,Karauli
781,Kekri
770,Khairthal-Tijara
109,Kota
782,Kotputli-Behror
110,Nagaur
773,Neem Ka Thana
111,Pali
772,Phalodi
629,Pratapgarh
112,Rajsamand
777,Salumbar
779,Sanchore
113,Sawai Madhopur
780,Shahpura
114,Sikar
115,Sirohi
116,Tonk
117,Udaipur
