"year","state_name","state_code","sector","enterprise_type","activity","no_enterprises","msme_micro","msme_small","msme_medium","msme_total","non_msme","female_employees","male_employees","total_employees","formal_ann_salary","informal_ann_salary","all_ann_salary","less_than_4hours","hours_4to7","more_than_8hours","wh_not_reported","gross_value_added","per_employee_gva","per_enterprise_gva","within_hh","fixed","temporary_kiosk","no_fixed","mobile","total_outsidehh","ent_notreported","avg_gva_lessthan4hr","avg_gv_4to8hr","avg_gva_above8hr","avg_gva_all","proprietary_male","proprietary_female","proprietary_same_hh","proprietary_diff_hh","proprietary_shg","proprietary_trust","proprietary_others","proprietary_nr","perennial","seasonal","casual","operation_nr","own_management","usual_discharge","road_river_nala","not_generated_lw","local_civicauthority","authorised_ground","own_system","road_side","noprovision_thers","not_generated_sw","no_assistance","financial_loan","subsidy","machinery_equipment","skill_devlopment","marketing","raw_material","other_assistance","no_problems","power_cuts","shortage_raw_materials","fall_demand","high_cost_credit","non_recovery_financial_dues","non_available_labours","non_available_skilled_labour","labour_disputes","problems_others","not_registered","establishment_act","local_body","sales_tax_act","provident_fund_act","esc_act","stock_exchange","other_industry_act","donation_grants","major_receipt_others","not_any","data_collected","data_not_collected","no_accounts","st","sc","obc","social_groups_other","unknown"
"2016","Jammu & Kashmir","01","Total","Establishment","Trade","54944","54269","676","0","54944","0","1275","159113","160577","116749","68579","77048","0.0","3.0","97.0","0.0","4586","285595.06","834668.0","228945","861280","273454","306943","0","499200","0","19637","141521","290012","284717","99","1","1","0","0","0","0","0","100","0","0","0","0","1","8","91","73","0","1","22","1","2","100","0","0","0","0","0","0","0","77","9","0","2","2","11","1","2","0","5","8","75","71","23","3","0","0","32","0","0","100","0","55","45","2","2","3","92","2"
"2016","Jammu & Kashmir","01","Total","Establishment","Services","43968","41639","2304","5","43948","20","46016","124985","171224","82720","62504","66864","1.0","33.0","67.0","0.0","1976","115404.38","449417.75","398003","493078","398826","395189","262976","282678","0","105609","105044","119435","114690","92","4","0","1","0","3","0","0","100","1","0","0","4","12","40","44","44","0","1","34","11","10","98","0","0","0","0","0","0","1","67","9","0","2","3","17","2","3","0","5","14","38","38","3","1","0","0","53","0","3","97","0","26","74","6","4","7","84","0"
"2016","Jammu & Kashmir","01","Total","Establishment","Total","138888","135731","3132","5","138868","20","54809","386532","441754","95825","66611","71140","0.0","16.0","84.0","0.0","7908","179013.66","569379.63","279020","631702","340797","356937","260749","278523","0","90574","107332","191047","177783","96","3","0","0","0","1","0","0","100","0","0","0","2","5","21","72","53","0","2","27","13","5","99","0","0","0","0","0","0","1","64","14","1","5","2","17","1","3","0","5","20","52","47","10","2","0","0","38","0","1","99","0","32","68","4","3","7","85","2"
"2016","Jammu & Kashmir","01","Total","All","Manufacturing","234393","234241","153","0","234393","0","83336","250823","334159","72174","70118","70145","3.0","34.0","64.0","0.0","3054","91393.617","130293.99","83566","245120","83729","128036","102637","111657","0","30765","59371","109184","90274","72","27","1","1","0","0","0","0","98","2","0","0","0","1","17","82","18","1","4","38","33","7","100","0","0","0","0","0","0","0","51","12","4","13","2","25","1","1","0","8","71","11","9","1","0","0","0","18","0","0","100","0","2","98","8","6","11","74","1"
"2016","Jammu & Kashmir","01","Total","All","Trade","295629","294922","707","0","295629","0","6557","416286","423064","116749","68357","76752","0.0","8.0","92.0","0.0","8478","200395.22","286778.38","116994","319514","99447","182889","63753","128862","0","32649","98580","204313","196117","98","1","1","0","0","0","0","0","100","1","0","0","0","1","6","93","49","0","1","38","7","5","100","0","0","0","0","0","0","0","66","9","0","6","3","19","0","1","0","4","27","59","51","7","1","0","0","14","0","0","100","0","19","81","4","5","5","85","1"
"2016","Jammu & Kashmir","01","Total","All","Services","178874","176475","2375","5","178855","20","54676","258268","313168","82720","62506","66859","5.0","29.0","66.0","0.0","3673","117285.29","205340.08","138107","276945","152375","180038","159511","135378","0","56240","106087","123457","115251","93","5","0","1","0","1","0","0","99","1","0","0","2","7","41","50","23","0","2","47","11","17","99","0","0","0","0","0","0","0","71","9","0","5","3","8","1","1","0","9","38","21","23","1","0","0","0","39","0","1","99","0","8","92","8","12","10","70","0"
"2016","Jammu & Kashmir","01","Total","All","Total","708897","705637","3235","5","708877","20","144569","925378","1070391","95825","66546","71055","2.0","22.0","76.0","0.0","15206","142060.23","214502.25","97876","298259","109696","178387","148442","132149","0","45875","82881","158845","139584","88","11","1","1","0","0","0","0","99","1","0","0","1","3","19","78","32","0","2","40","17","8","100","0","0","0","0","0","0","0","62","10","1","8","3","18","1","1","0","7","44","34","30","3","0","0","0","22","0","0","100","0","11","89","6","7","8","78","1"
"2016","Himachal Pradesh","02","Rural","Own Account Enterprises","Manufacturing","71663","71663","0","0","71663","0","22420","53807","76227","0","56852","56852","","","","","425","55754.523","59305.359","42113","81200","58983","171600","102815","143700","0","14358","40091","84319","52456","69","29","2","0","0","0","0","0","97","3","0","0","1","0","6","93","1","8","48","15","15","14","99","1","0","0","0","0","0","0","36","5","2","27","5","21","0","1","0","24","78","3","4","1","0","0","0","19","0","0","100","0","1","99","5","45","11","39","0"
"2016","Himachal Pradesh","02","Rural","Own Account Enterprises","Trade","76915","76590","324","0","76915","0","9815","76142","85956","0","43942","43942","1.0","15.0","84.0","0.0","845","98306.109","109861.54","86699","116961","120534","0","21000","0","0","11416","58346","97913","91278","91","8","1","1","0","0","0","0","99","1","0","0","0","2","8","91","3","22","34","29","1","11","89","11","0","0","0","0","0","0","45","0","1","27","3","16","0","0","0","21","42","15","6","12","0","0","0","40","0","1","99","0","8","92","5","20","17","58","0"
"2016","Himachal Pradesh","02","Rural","Own Account Enterprises","Services","115922","115554","369","0","115922","0","14165","110493","124658","0","88796","88796","11.0","24.0","62.0","3.0","1303","104525.98","112403.16","81471","86487","132134","105369","220242","206801","0","74580","75134","117001","99639","88","9","2","0","2","0","0","0","98","1","1","0","2","4","21","73","1","8","18","27","1","45","92","9","0","0","0","0","0","0","57","0","0","19","1","3","3","1","0","23","54","4","5","1","0","0","0","42","0","0","100","0","4","96","6","21","13","60","0"
